2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connecting to RabbitMQ 10.230.2.117:5672
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Start listening for new input messages
2018-12-30 14:28:55 - apollo_python_common.mq.abstract_mq_consumer - INFO - Start listening for new input messages
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Start consuming messages on queue a4ccbb2a8db9404a9da42f11947180dc
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connecting to RabbitMQ 10.230.2.117:5672
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Start consuming messages on queue 5562ca682f944167b6cf7c7b2c137a5e
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connecting to RabbitMQ 10.230.2.117:5672
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connection successful
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connection successful
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connection successful
2018-12-30 14:28:56 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connecting to RabbitMQ 10.230.2.117:5672
2018-12-30 14:29:02 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1001), ('predict', 0.0153), ('postprocess', 0.0006)]
2018-12-30 14:29:02 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1291), ('predict', 0.0132), ('postprocess', 0.0006)]
2018-12-30 14:29:02 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.0536), ('predict', 0.0272), ('postprocess', 0.0006)]
2018-12-30 14:29:03 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1008), ('predict', 0.0375), ('postprocess', 0.001)]
2018-12-30 14:29:03 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.2117), ('predict', 0.0123), ('postprocess', 0.0006)]
2018-12-30 14:29:03 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.0892), ('predict', 0.0287), ('postprocess', 0.0006)]
2018-12-30 14:29:03 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.2339), ('predict', 0.0272), ('postprocess', 0.0006)]
2018-12-30 14:29:03 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.0964), ('predict', 0.0127), ('postprocess', 0.0006)]
2018-12-30 14:29:03 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.099), ('predict', 0.0143), ('postprocess', 0.0005)]
2018-12-30 14:29:03 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1235), ('predict', 0.0137), ('postprocess', 0.0006)]
2018-12-30 14:29:04 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1131), ('predict', 0.0133), ('postprocess', 0.0006)]
2018-12-30 14:29:04 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1089), ('predict', 0.0122), ('postprocess', 0.0006)]
2018-12-30 14:29:04 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1632), ('predict', 0.0168), ('postprocess', 0.0006)]
2018-12-30 14:29:04 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.0496), ('predict', 0.0133), ('postprocess', 0.0007)]
2018-12-30 14:29:04 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.0934), ('predict', 0.0126), ('postprocess', 0.0006)]
2018-12-30 14:29:57 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connecting to RabbitMQ 10.230.2.117:5672
2018-12-30 14:29:57 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Start listening for new input messages
2018-12-30 14:29:57 - apollo_python_common.mq.abstract_mq_consumer - INFO - Start listening for new input messages
2018-12-30 14:29:57 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Start consuming messages on queue 783bb551c23848c49c5f930168a9a056
2018-12-30 14:29:57 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connecting to RabbitMQ 10.230.2.117:5672
2018-12-30 14:29:57 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Start consuming messages on queue 7c91937aa44344c988bffbdbe79e530e
2018-12-30 14:29:57 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connecting to RabbitMQ 10.230.2.117:5672
2018-12-30 14:29:57 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connection successful
2018-12-30 14:29:57 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connection successful
2018-12-30 14:29:57 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connection successful
2018-12-30 14:29:58 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connecting to RabbitMQ 10.230.2.117:5672
2018-12-30 14:29:58 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connection successful
2018-12-30 14:29:58 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.291), ('predict', 0.8914), ('postprocess', 0.0006)]
2018-12-30 14:29:58 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.22), ('predict', 0.0366), ('postprocess', 0.0007)]
2018-12-30 14:29:58 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1747), ('predict', 0.0299), ('postprocess', 0.0008)]
2018-12-30 14:29:58 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1711), ('predict', 0.0232), ('postprocess', 0.0007)]
2018-12-30 14:29:58 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1851), ('predict', 0.0236), ('postprocess', 0.0006)]
2018-12-30 14:29:58 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1704), ('predict', 0.0286), ('postprocess', 0.0016)]
2018-12-30 14:29:58 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.2436), ('predict', 0.0133), ('postprocess', 0.0008)]
2018-12-30 14:29:58 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1378), ('predict', 0.0133), ('postprocess', 0.0006)]
2018-12-30 14:29:58 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1486), ('predict', 0.0151), ('postprocess', 0.0006)]
2018-12-30 14:29:59 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.123), ('predict', 0.0147), ('postprocess', 0.0007)]
2018-12-30 14:29:59 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1514), ('predict', 0.0137), ('postprocess', 0.0006)]
2018-12-30 14:29:59 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1273), ('predict', 0.0134), ('postprocess', 0.0006)]
2018-12-30 14:29:59 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1477), ('predict', 0.0135), ('postprocess', 0.0006)]
